As Of,NAV,Daily NAV Change,Daily NAV Change %
29-Sep-17,10.23,0.01,0.07
28-Sep-17,10.22,-0.01,-0.07
27-Sep-17,10.23,-0.03,-0.32
26-Sep-17,10.26,-0.01,-0.07
25-Sep-17,10.27,0.03,0.27
22-Sep-17,10.24,0.01,0.05
21-Sep-17,10.24,-0.01,-0.06
20-Sep-17,10.24,0,0
19-Sep-17,10.24,0.01,0.05
18-Sep-17,10.24,-0.01,-0.09
15-Sep-17,10.25,-0.01,-0.08
14-Sep-17,10.25,-0.01,-0.08
13-Sep-17,10.26,0,-0.03
12-Sep-17,10.26,-0.04,-0.35
11-Sep-17,10.3,-0.01,-0.12
08-Sep-17,10.31,-0.01,-0.07
07-Sep-17,10.32,0.02,0.19
06-Sep-17,10.3,-0.01,-0.09
05-Sep-17,10.31,0.03,0.31
01-Sep-17,10.28,-0.02,-0.17
31-Aug-17,10.29,0,0.03
30-Aug-17,10.29,-0.01,-0.11
29-Aug-17,10.3,0.02,0.23
25-Aug-17,10.28,0,0.01
24-Aug-17,10.28,-0.01,-0.09
23-Aug-17,10.29,0.02,0.16
22-Aug-17,10.27,-0.01,-0.08
21-Aug-17,10.28,0,0.04
18-Aug-17,10.27,0.01,0.13
17-Aug-17,10.26,0.01,0.08
16-Aug-17,10.25,0,-0.01
15-Aug-17,10.25,-0.02,-0.18
14-Aug-17,10.27,-0.01,-0.14
11-Aug-17,10.29,0.01,0.14
10-Aug-17,10.27,0.01,0.09
09-Aug-17,10.26,0.03,0.24
08-Aug-17,10.24,-0.01,-0.11
07-Aug-17,10.25,0.01,0.07
04-Aug-17,10.24,-0.01,-0.13
03-Aug-17,10.26,0.02,0.17
02-Aug-17,10.24,0,-0.02
01-Aug-17,10.24,0.04,0.34
31-Jul-17,10.21,0,0.03
28-Jul-17,10.2,0,-0.03
27-Jul-17,10.21,0.01,0.06
26-Jul-17,10.2,0.01,0.13
25-Jul-17,10.19,-0.04,-0.37
24-Jul-17,10.22,0,-0.01
21-Jul-17,10.23,0.02,0.2
20-Jul-17,10.21,0,0.01
19-Jul-17,10.2,0.01,0.12
18-Jul-17,10.19,0.02,0.18
17-Jul-17,10.17,0.01,0.11
14-Jul-17,10.16,0.01,0.06
13-Jul-17,10.16,-0.01,-0.1
12-Jul-17,10.17,0.03,0.29
11-Jul-17,10.14,-0.01,-0.07
10-Jul-17,10.15,0.02,0.21
07-Jul-17,10.12,0,-0.03
06-Jul-17,10.13,-0.04,-0.41
05-Jul-17,10.17,0.01,0.14
03-Jul-17,10.16,-0.01,-0.12
30-Jun-17,10.17,-0.01,-0.13
29-Jun-17,10.18,-0.05,-0.45
28-Jun-17,10.23,-0.01,-0.06
27-Jun-17,10.23,-0.05,-0.47
26-Jun-17,10.28,0,0.04
23-Jun-17,10.28,0,-0.03
22-Jun-17,10.28,0.01,0.05
21-Jun-17,10.27,0,0.01
20-Jun-17,10.27,0.02,0.19
19-Jun-17,10.25,0,-0.03
16-Jun-17,10.26,0.01,0.07
15-Jun-17,10.25,-0.03,-0.25
14-Jun-17,10.28,0.03,0.29
13-Jun-17,10.25,0,0
12-Jun-17,10.25,0.01,0.1
09-Jun-17,10.24,0,-0.03
08-Jun-17,10.24,0,0.03
07-Jun-17,10.24,-0.01,-0.05
06-Jun-17,10.24,0.02,0.15
02-Jun-17,10.23,0.02,0.16
01-Jun-17,10.21,-0.01,-0.09
31-May-17,10.22,0.01,0.06
30-May-17,10.21,0.02,0.19
26-May-17,10.19,0.02,0.16
25-May-17,10.18,0.02,0.19
24-May-17,10.16,0,0.03
23-May-17,10.16,-0.01,-0.05
22-May-17,10.16,-0.01,-0.11
19-May-17,10.17,0,-0.04
18-May-17,10.18,0,0.02
17-May-17,10.17,0.03,0.33
16-May-17,10.14,0,0.03
15-May-17,10.14,-0.01,-0.13
12-May-17,10.15,0.03,0.28
11-May-17,10.12,-0.01,-0.08
10-May-17,10.13,0.01,0.12
09-May-17,10.12,-0.01,-0.11
08-May-17,10.13,0,0
05-May-17,10.13,-0.01,-0.07
04-May-17,10.14,-0.02,-0.19
03-May-17,10.16,0,0
02-May-17,10.16,0.01,0.06
28-Apr-17,10.15,0,-0.03
27-Apr-17,10.15,0.02,0.22
26-Apr-17,10.13,0.01,0.1
25-Apr-17,10.12,-0.02,-0.21
24-Apr-17,10.14,0,-0.02
21-Apr-17,10.14,0,-0.03
20-Apr-17,10.15,-0.01,-0.08
19-Apr-17,10.15,-0.01,-0.07
18-Apr-17,10.16,0.02,0.15
13-Apr-17,10.15,0.02,0.2
12-Apr-17,10.13,0.01,0.05
11-Apr-17,10.12,0.02,0.15
10-Apr-17,10.11,0,-0.01
07-Apr-17,10.11,0,0.04
06-Apr-17,10.1,0.01,0.07
05-Apr-17,10.1,0,-0.02
04-Apr-17,10.1,0.01,0.14
03-Apr-17,10.08,0.02,0.2
31-Mar-17,10.06,0,-0.01
30-Mar-17,10.07,-0.01,-0.07
29-Mar-17,10.07,0.02,0.15
28-Mar-17,10.06,0,0.02
27-Mar-17,10.06,0.01,0.09
24-Mar-17,10.05,0.01,0.12
23-Mar-17,10.03,0,-0.04
22-Mar-17,10.04,0.03,0.25
21-Mar-17,10.01,0,0.04
20-Mar-17,10.01,0,0.04
17-Mar-17,10.01,0.01,0.05
16-Mar-17,10,--,--
