As Of,NAV,Daily NAV Change,Daily NAV Change %
04-Oct-22,9.12,0.03,0.36
03-Oct-22,9.09,0.11,1.25
30-Sep-22,8.97,0.03,0.29
29-Sep-22,8.95,-0.04,-0.45
28-Sep-22,8.99,0.05,0.51
27-Sep-22,8.94,-0.1,-1.07
26-Sep-22,9.04,-0.07,-0.72
23-Sep-22,9.1,-0.04,-0.4
22-Sep-22,9.14,-0.06,-0.7
21-Sep-22,9.21,0.02,0.23
20-Sep-22,9.18,-0.09,-0.95
16-Sep-22,9.27,-0.02,-0.26
15-Sep-22,9.3,-0.01,-0.14
14-Sep-22,9.31,0.01,0.11
13-Sep-22,9.3,-0.05,-0.54
12-Sep-22,9.35,0.04,0.4
09-Sep-22,9.31,-0.01,-0.05
08-Sep-22,9.32,-0.05,-0.55
07-Sep-22,9.37,0.03,0.35
06-Sep-22,9.34,-0.05,-0.56
02-Sep-22,9.39,0.04,0.44
01-Sep-22,9.35,-0.05,-0.51
31-Aug-22,9.4,-0.02,-0.26
30-Aug-22,9.42,-0.08,-0.84
26-Aug-22,9.5,-0.04,-0.41
25-Aug-22,9.54,0.04,0.37
24-Aug-22,9.5,-0.03,-0.35
23-Aug-22,9.54,-0.03,-0.29
22-Aug-22,9.57,-0.05,-0.57
19-Aug-22,9.62,-0.1,-1
18-Aug-22,9.72,0,0.02
17-Aug-22,9.72,-0.07,-0.75
16-Aug-22,9.79,-0.05,-0.51
15-Aug-22,9.84,0.06,0.63
12-Aug-22,9.78,0,-0.02
11-Aug-22,9.78,-0.06,-0.62
10-Aug-22,9.84,0.03,0.3
09-Aug-22,9.81,-0.03,-0.32
08-Aug-22,9.84,0.03,0.33
05-Aug-22,9.81,-0.1,-0.97
04-Aug-22,9.91,0.04,0.41
03-Aug-22,9.87,-0.02,-0.23
02-Aug-22,9.89,-0.04,-0.4
01-Aug-22,9.93,0.04,0.42
29-Jul-22,9.89,0.02,0.16
28-Jul-22,9.87,0.09,0.95
27-Jul-22,9.78,0.01,0.06
26-Jul-22,9.77,0.04,0.4
25-Jul-22,9.73,0.01,0.12
22-Jul-22,9.72,0.11,1.11
21-Jul-22,9.62,0.05,0.48
20-Jul-22,9.57,0.02,0.23
19-Jul-22,9.55,-0.03,-0.3
18-Jul-22,9.58,-0.04,-0.44
15-Jul-22,9.62,0.03,0.33
14-Jul-22,9.59,-0.03,-0.34
13-Jul-22,9.62,-0.01,-0.09
12-Jul-22,9.63,0.07,0.75
11-Jul-22,9.56,0.05,0.55
07-Jul-22,9.53,-0.05,-0.51
06-Jul-22,9.58,0.01,0.1
05-Jul-22,9.57,0.01,0.08
01-Jul-22,9.56,0.1,1.02
30-Jun-22,9.46,0.06,0.59
29-Jun-22,9.41,0.06,0.66
28-Jun-22,9.35,-0.05,-0.56
27-Jun-22,9.4,-0.06,-0.63
24-Jun-22,9.46,-0.01,-0.09
23-Jun-22,9.47,0.11,1.16
22-Jun-22,9.36,0.09,0.97
21-Jun-22,9.27,-0.07,-0.73
17-Jun-22,9.34,0.01,0.16
16-Jun-22,9.32,-0.03,-0.28
15-Jun-22,9.35,0.07,0.8
14-Jun-22,9.27,-0.09,-0.91
13-Jun-22,9.36,-0.13,-1.37
10-Jun-22,9.49,-0.07,-0.75
09-Jun-22,9.56,-0.05,-0.57
08-Jun-22,9.61,-0.04,-0.4
07-Jun-22,9.65,0.03,0.32
06-Jun-22,9.62,-0.1,-1.01
01-Jun-22,9.72,-0.04,-0.37
31-May-22,9.76,-0.09,-0.93
27-May-22,9.85,0.03,0.27
26-May-22,9.82,-0.03,-0.27
25-May-22,9.85,0,0.03
24-May-22,9.85,0.04,0.38
23-May-22,9.81,-0.04,-0.42
20-May-22,9.85,0,-0.05
19-May-22,9.85,0.02,0.23
18-May-22,9.83,0.02,0.23
17-May-22,9.81,-0.07,-0.66
16-May-22,9.87,0.02,0.16
13-May-22,9.86,-0.04,-0.43
12-May-22,9.9,0.08,0.81
11-May-22,9.82,0.01,0.13
10-May-22,9.81,0.05,0.54
09-May-22,9.76,0.02,0.18
06-May-22,9.74,-0.08,-0.85
05-May-22,9.82,-0.04,-0.38
04-May-22,9.86,-0.01,-0.12
03-May-22,9.87,-0.02,-0.21
29-Apr-22,9.89,-0.04,-0.38
28-Apr-22,9.93,-0.06,-0.62
27-Apr-22,9.99,-0.03,-0.31
26-Apr-22,10.02,0.03,0.31
25-Apr-22,9.99,0.05,0.54
22-Apr-22,9.94,-0.03,-0.29
21-Apr-22,9.97,-0.05,-0.45
20-Apr-22,10.01,0.04,0.44
19-Apr-22,9.97,-0.07,-0.68
14-Apr-22,10.04,-0.06,-0.58
13-Apr-22,10.1,0.02,0.18
12-Apr-22,10.08,0.01,0.12
11-Apr-22,10.07,-0.06,-0.62
08-Apr-22,10.13,-0.02,-0.24
07-Apr-22,10.15,-0.02,-0.17
06-Apr-22,10.17,-0.03,-0.32
05-Apr-22,10.2,-0.09,-0.87
04-Apr-22,10.29,0.03,0.28
01-Apr-22,10.27,-0.03,-0.27
31-Mar-22,10.29,0.06,0.58
30-Mar-22,10.23,-0.01,-0.07
29-Mar-22,10.24,-0.02,-0.16
28-Mar-22,10.26,0,0.02
25-Mar-22,10.26,-0.03,-0.31
24-Mar-22,10.29,-0.02,-0.22
23-Mar-22,10.31,0.03,0.27
22-Mar-22,10.28,-0.05,-0.45
21-Mar-22,10.33,-0.07,-0.65
18-Mar-22,10.4,0.02,0.23
17-Mar-22,10.37,0.02,0.18
16-Mar-22,10.35,-0.02,-0.16
15-Mar-22,10.37,0.02,0.2
14-Mar-22,10.35,-0.08,-0.76
11-Mar-22,10.43,-0.01,-0.12
10-Mar-22,10.44,-0.06,-0.56
09-Mar-22,10.5,-0.06,-0.61
08-Mar-22,10.56,-0.09,-0.85
07-Mar-22,10.65,-0.06,-0.52
04-Mar-22,10.71,0.07,0.62
03-Mar-22,10.65,-0.01,-0.13
02-Mar-22,10.66,-0.07,-0.67
01-Mar-22,10.73,0.15,1.45
28-Feb-22,10.58,0.04,0.4
25-Feb-22,10.54,-0.02,-0.22
24-Feb-22,10.56,0.02,0.16
23-Feb-22,10.54,0,-0.04
22-Feb-22,10.55,-0.05,-0.48
18-Feb-22,10.6,0.02,0.14
17-Feb-22,10.58,0.03,0.28
16-Feb-22,10.55,0.03,0.29
15-Feb-22,10.52,-0.03,-0.31
14-Feb-22,10.56,-0.02,-0.19
11-Feb-22,10.58,0,0
10-Feb-22,10.58,-0.06,-0.6
09-Feb-22,10.64,0.04,0.34
08-Feb-22,10.6,-0.03,-0.32
07-Feb-22,10.64,-0.04,-0.41
04-Feb-22,10.68,-0.07,-0.61
03-Feb-22,10.75,-0.09,-0.81
02-Feb-22,10.84,0.01,0.1
01-Feb-22,10.83,-0.02,-0.16
31-Jan-22,10.84,-0.04,-0.36
28-Jan-22,10.88,-0.01,-0.11
27-Jan-22,10.89,0,0.01
26-Jan-22,10.89,-0.03,-0.3
25-Jan-22,10.93,-0.02,-0.15
24-Jan-22,10.94,0.01,0.09
21-Jan-22,10.93,0.03,0.27
20-Jan-22,10.9,0.02,0.2
19-Jan-22,10.88,-0.01,-0.09
18-Jan-22,10.89,-0.05,-0.42
