Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
AIRPORT AUTHORITY,China (Hong Kong),,SSA - Agencies,Green,4,2.00bn,Oct-21,Sustainalytics,Oct-21
AJINOMOTO CO. INC.,Japan,,Corporate - Consumer Staples,Sustainability,1,0.09bn,Sep-21,Other,Sep-21
AKADEMISKA HUS AB,Sweden,,Financials - Real estate,Green,3,0.33bn,May-19,Cicero,May-19
AKBANK TÜRK ANONIM SIRKETI,Turkey,,Financials - Banking,Green,1,0.05bn,,,
AKBANK TÜRK ANONIM SIRKETI,Turkey,,Financials - Banking,Sustainability,2,1.00bn,Feb-21,Sustainalytics,Feb-21
AKER ASA,Norway,,Financials - Financial services,Green,4,0.29bn,,DNV GL,Jan-21
AKER HORIZONS AS,Norway,,Financials - Financial services,Green,1,0.29bn,,DNV GL,Jan-21
AKERSHUS ENERGI AS,Norway,,Corporate - Utilities,Green,2,0.11bn,,Cicero,Dec-20
AKTIEBOLAGET SKF (PUBL),Sweden,,Corporate - Industrials,Green,2,0.73bn,,Cicero,Oct-19
AKTIEBOLAGET SVENSK EXPORTKREDIT (PUBL),Sweden,,SSA - Quasi-sovereigns,Green,11,2.33bn,,Cicero,Dec-21
AL RAJHI SUKUK LTD,Saudi Arabia,,Financials - Banking,Sustainability,1,1.00bn,,S&P,Sep-22
ALABAMA POWER CO,United States,,Corporate - Utilities,Sustainability,1,0.45bn,Dec-20,Sustainalytics,Dec-20
ALANDSBANKEN ABP,Finland,,Financials - Banking,Green,1,0.02bn,,Cicero,Sep-21
ALBIOMA SA,France,,Corporate - Utilities,Sustainability Linked Bonds,2,0.12bn,,Vigeo Eiris,Nov-20
ALD,France,,Corporate - Consumer Discretionary,Green,1,0.53bn,,ISS-Oekom,Jun-22
ALERION CLEANPOWER SPA,Italy,,Corporate - Utilities,Green,3,0.56bn,,DNV GL,Mar-22
ALEXANDRIA REAL ESTATE EQUITIES INC,United States,,Financials - Real estate,Green,5,3.20bn,,,
ALGONQUIN POWER & UTILITIES CORP,Canada,,Corporate - Utilities,Green,1,1.15bn,Jun-20,Sustainalytics,Jun-20
ALGONQUIN POWER CO,Canada,,Corporate - Utilities,Green,2,0.54bn,Jun-20,Sustainalytics,Jun-20
ALIBABA GROUP HOLDING LTD,Cayman Islands,,Corporate - Consumer Discretionary,Sustainability,1,1.00bn,Feb-21,Sustainalytics,Feb-21
ALIMENTATION COUCHE-TARD INC,Canada,,Corporate - Consumer Staples,Green,2,0.35bn,,ISS-Oekom,May-21
ALLGEMEINE BAUGENOSSENSCHAFT ZUERICH,Switzerland,,Financials - Real estate,Sustainability,1,0.13bn,,ISS-Oekom,Aug-21
ALLGEMEINE SPARKASSE OBEROESTERREICH BANK AG,Austria,,Financials - Banking,Sustainability,4,0.12bn,,ISS-Oekom,May-21
ALLIANDER FINANCE B.V.,Netherlands,,Corporate - Utilities,Green,4,1.34bn,,ISS-Oekom,Jun-20
ALLIANDER N.V.,Netherlands,,Corporate - Utilities,Green,1,0.50bn,,ISS-Oekom,Aug-22
ALLIED PROPERTIES REAL ESTATE INVESTMENT TRUST,Canada,,Financials - Real estate,Green,2,0.87bn,Feb-20,Sustainalytics,Feb-20
ALLREAL HOLDING AG,Switzerland,,Financials - Real estate,Green,1,0.17bn,Aug-22,Sustainalytics,Aug-22
ALPERIA SPA,Italy,,Corporate - Utilities,Green,4,0.53bn,,DNV GL,Jun-16
ALPHABET INC,United States,,Corporate - Communications,Sustainability,3,5.75bn,Jul-20,Sustainalytics,Jul-20
ALTERA SHUTTLE TANKERS LLC,Marshall Islands,,Corporate - Industrials,Green,1,0.20bn,,Cicero,Sep-19
