Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
KASIKORNBANK PCL/HONG KONG,Thailand,,Financials - Banking,Sustainability,1,0.10bn,Oct-18,Sustainalytics,Oct-18
KAWASAKI HEAVY INDUSTRIES LIMITED,Japan,,Corporate - Industrials,Green,1,0.07bn,Jun-21,Other,Jun-21
KAWASAKI HEAVY INDUSTRIES LIMITED,Japan,,Corporate - Industrials,Sustainability,1,0.09bn,Jun-21,Other,Jun-21
KB CAPITAL CO LTD,Korea,,Financials - Commercial Finance,Green,1,0.03bn,Sep-18,Sustainalytics,Sep-18
KB CAPITAL CO LTD,Korea,,Financials - Commercial Finance,Sustainability,20,0.73bn,Nov-22,Moody's,Nov-22
KB FINANCIAL GROUP INC,Korea,,Financials - Banking,Green,1,0.10bn,,Deloitte,Sep-20
KB FINANCIAL GROUP INC,Korea,,Financials - Banking,Sustainability,2,0.44bn,,Deloitte,Sep-20
KB INSURANCE CO LTD,Korea,,Financials - Insurance,Sustainability,1,0.23bn,,Other,May-22
KB KOOKMIN CARD CO LTD,Korea,,Financials - Consumer Finance,Social,23,0.97bn,Apr-21,Sustainalytics,Apr-21
KB KOOKMIN CARD CO LTD,Korea,,Financials - Consumer Finance,Sustainability,2,0.70bn,Apr-21,Sustainalytics,Apr-21
KB SECURITIES CO LTD,Korea,,Financials - Financial services,Green,1,0.10bn,,Deloitte,Feb-21
KBC GROUP NV,Belgium,,Financials - Banking,Green,3,1.99bn,Apr-18,Sustainalytics,Dec-19
KBC GROUP NV,Belgium,,Financials - Banking,Social,1,0.76bn,May-22,Sustainalytics,May-22
KCC CORPORATION,Korea,,Corporate - Materials,Sustainability,1,0.00bn,,Other,Mar-22
KDB CAPITAL CORP,Korea,,Financials - Commercial Finance,Green,2,0.07bn,,Other,Nov-21
KDB CAPITAL CORP,Korea,,Financials - Commercial Finance,Sustainability,1,0.04bn,,Other,Oct-22
KDDI CORP,Japan,,Corporate - Communications,Sustainability,2,0.66bn,Sep-22,Other,Sep-22
KDIC,Korea,,Financials - Insurance,Social,2,0.00bn,Mar-20,PwC,Mar-20
KDIC SPECIAL ACCOUNT BOND,Korea,,Financials - Insurance,Social,7,1.46bn,Mar-20,PwC,Mar-20
KEB HANA BANK,Korea,,Financials - Banking,Social,1,0.60bn,Nov-18,Sustainalytics,Nov-18
KEB HANA BANK,Korea,,Financials - Banking,Sustainability,7,0.78bn,Nov-18,Deloitte,Nov-20
KEB HANACARD CO LTD,Korea,,Financials - Consumer Finance,Social,8,0.25bn,,Deloitte,Nov-20
KEB HANACARD CO LTD,Korea,,Financials - Consumer Finance,Sustainability,2,0.09bn,,Deloitte,Nov-20
KEIHAN HOLDINGS CO LTD,Japan,,Corporate - Consumer Discretionary,Sustainability,1,0.09bn,Jun-21,Other,Jun-21
KELLOGG CO,Mexico,,Corporate - Consumer Staples,Sustainability,1,0.36bn,May-21,Sustainalytics,May-21
KENEDIX OFFICE INVESTMENT CORP,Japan,,Financials - Real estate,Green,2,0.03bn,Dec-18,Japan Credit Rating Agency,Feb-20
KENEDIX RESIDENTIAL NEXT INVESTMENT CORP,Japan,,Financials - Real estate,Social,2,0.03bn,Nov-19,Japan Credit Rating Agency,Nov-19
KENEDIX RETAIL REIT CORP,Japan,,Financials - Real estate,Green,2,0.03bn,Apr-21,Japan Credit Rating Agency,Mar-21
KERRY GROUP FINANCIAL SERVICES UNLMTD CO,Ireland,,Corporate - Consumer Staples,Sustainability Linked Bonds,1,0.84bn,,ISS-Oekom,Nov-21
KGI BANK CO LTD,Taiwan,,Financials - Banking,Social,1,0.03bn,,,
KHFC MBS 2019-10,Korea,,SSA - Agencies,Social,3,0.52bn,Feb-19,Sustainalytics,Feb-19
KHFC MBS 2019-11,Korea,,SSA - Agencies,Social,5,0.42bn,Feb-19,Sustainalytics,Feb-19
KHFC MBS 2019-12,Korea,,SSA - Agencies,Social,8,0.79bn,Feb-19,Sustainalytics,Feb-19
KHFC MBS 2019-6,Korea,,SSA - Agencies,Social,8,2.72bn,Feb-19,Sustainalytics,Feb-19
KHFC MBS 2019-8,Korea,,SSA - Agencies,Social,4,0.52bn,Feb-19,Sustainalytics,Feb-19
KHFC MBS 2019-9,Korea,,SSA - Agencies,Social,5,0.61bn,Feb-19,Sustainalytics,Feb-19
KIA CORP,Korea,,Corporate - Consumer Discretionary,Green,11,1.67bn,Mar-21,DNV GL,Mar-21
KILROY REALTY LP,United States,,Financials - Real estate,Green,3,1.28bn,,Climate Bonds Initiative Certified,Apr-21
KIMCO REALTY CORP,United States,,Financials - Real estate,Green,1,0.50bn,,,
KINETIK HOLDINGS LP,United States,,Corporate - Energy,Sustainability Linked Bonds,2,1.00bn,,ISS-Oekom,May-22
KINNEVIK AB,Sweden,,Financials - Financial services,Sustainability Linked Bonds,2,0.23bn,,Cicero,Nov-21
KIRIN HOLDINGS CO LTD,Japan,,Corporate - Consumer Staples,Green,1,0.10bn,Nov-20,Sustainalytics,Nov-20
KIRIN HOLDINGS CO LTD,Japan,,Corporate - Consumer Staples,Social,1,0.15bn,,,
KITZ CORP,Germany,,Corporate - Industrials,Sustainability Linked Bonds,1,0.07bn,Aug-22,Other,Aug-22
KIWI PROPERTY GROUP LTD,New Zealand,,Financials - Real estate,Green,2,0.18bn,,,
KLABIN AUSTRIA GMBH,Austria,,Corporate - Materials,Green,4,0.70bn,Aug-17,Sustainalytics,Aug-17
KLABIN AUSTRIA GMBH,Austria,,Corporate - Materials,Sustainability Linked Bonds,2,0.50bn,,Sustainalytics,Dec-20
KLOVERN AB,Sweden,,Financials - Real estate,Green,2,0.52bn,Oct-20,Cicero,Oct-20
KNORR-BREMSE AKTIENGESELLSCHAFT,Germany,,Corporate - Industrials,Sustainability Linked Bonds,1,0.71bn,,Other,Sep-22
KNOWLEDGE CITY GUANGZHOU INVESTMENT GROUP CO LTD,China (mainland),,Financials - Financial services,Green,3,0.60bn,Mar-22,Other,Mar-22
KOCHI PREFECTURE,Japan,,SSA - Quasi-sovereigns,Green,1,0.04bn,,Japan Credit Rating Agency,Feb-23
KODIT GLOBAL 2022 THE 1ST SECURITIZATION SPECIALTY CO LTD,Korea,,SSA - Quasi-sovereigns,Social,1,0.30bn,Apr-22,DNV GL,Apr-22
KOJAMO OYJ,Finland,,Financials - Real estate,Green,2,0.76bn,,Cicero,Mar-21
KOMATSU FINANCE AMERICA INC,United States,,Corporate - Industrials,Sustainability Linked Bonds,2,1.20bn,Sep-22,DNV GL,Sep-22
KOMATSU LTD,Japan,,Corporate - Industrials,Green,1,0.09bn,,DNV GL,Jun-20
KOMETA 99 ELELMISZERIPARI ZRT,Hungary,,Corporate - Consumer Staples,Green,1,0.04bn,,Cicero,Jan-22
KOMMUNALBANKEN AS,Norway,,SSA - Agencies,Green,15,3.67bn,,Cicero,Mar-21
KOMMUNEKREDIT,Denmark,,SSA - Quasi-sovereigns,Green,7,3.45bn,,Cicero,Feb-22
KOMMUNINVEST I SVERIGE AB,Sweden,,SSA - Quasi-sovereigns,Green,9,5.35bn,,Cicero,May-21
KONINKLIJKE AHOLD DELHAIZE NV,Netherlands,,Corporate - Consumer Staples,Green,1,0.54bn,Mar-23,Sustainalytics,Mar-23
KONINKLIJKE AHOLD DELHAIZE NV,Netherlands,,Corporate - Consumer Staples,Sustainability,1,0.67bn,Jun-19,Sustainalytics,Jun-19
KONINKLIJKE AHOLD DELHAIZE NV,Netherlands,,Corporate - Consumer Staples,Sustainability Linked Bonds,1,0.71bn,,Sustainalytics,Mar-21
KONINKLIJKE KPN N.V.,Netherlands,,Corporate - Communications,Green,1,0.51bn,Jul-22,Sustainalytics,Jul-22
KONINKLIJKE KPN N.V.,Netherlands,,Corporate - Communications,Sustainability Linked Bonds,1,0.81bn,,Sustainalytics,Nov-21
KONINKLIJKE PHILIPS N.V.,Netherlands,,Corporate - Health Care,Green,2,1.53bn,Apr-19,Sustainalytics,Apr-19
KONINKLIJKE PHILIPS N.V.,Netherlands,,Corporate - Health Care,Sustainability,2,1.17bn,Apr-19,Sustainalytics,Apr-19
KOOKMIN BANK,Korea,,Financials - Banking,Green,1,0.58bn,Sep-18,Deloitte,Mar-21
KOOKMIN BANK,Korea,,Financials - Banking,Sustainability,20,5.84bn,Sep-18,Deloitte,Mar-21
KOREA AIRPORTS,Korea,,Corporate - Consumer Discretionary,Sustainability,1,0.00bn,,Other,Aug-21
KOREA ASSET MANAGEMENT CORP,Korea,,SSA - Agencies,Social,14,1.15bn,,KPMG,Jun-21
KOREA DEVELOPMENT BANK/THE,Korea,,SSA - Quasi-sovereigns,Green,16,3.78bn,Jun-19,Other,Oct-22
KOREA DEVELOPMENT BANK/THE,Korea,,SSA - Quasi-sovereigns,Social,3,0.89bn,Jun-19,Deloitte,Mar-20
KOREA DEVELOPMENT BANK/THE,Korea,,SSA - Quasi-sovereigns,Sustainability,1,0.17bn,Jun-19,Deloitte,Mar-20
KOREA DISTRICT HEATING CORP,Korea,,Corporate - Utilities,Green,3,0.22bn,,Other,Mar-22
KOREA DISTRICT HEATING CORP,Korea,,Corporate - Utilities,Sustainability,2,0.21bn,,Other,Feb-22
KOREA EAST-WEST POWER CO LTD,Korea,,Corporate - Utilities,Green,12,0.98bn,Apr-22,Other,May-22
KOREA EAST-WEST POWER CO LTD,Korea,,Corporate - Utilities,Sustainability,2,0.50bn,May-18,Sustainalytics,May-18
KOREA ELECTRIC POWER CORP,Korea,,Corporate - Utilities,Green,13,2.90bn,Sep-21,Sustainalytics,Sep-21
KOREA ELECTRIC POWER CORP,Korea,,Corporate - Utilities,Sustainability,7,0.15bn,Sep-21,Sustainalytics,Sep-21
KOREA EXPRESSWAY CORPORATION,Korea,,SSA - Agencies,Sustainability,3,0.54bn,,DNV GL,May-21
KOREA GAS CORP,Korea,,Corporate - Utilities,Sustainability,2,0.50bn,Nov-18,Sustainalytics,Nov-18
KOREA HOUSING FINANCE CORP,Korea,,SSA - Agencies,Social,54,12.14bn,Oct-22,Moody's,Oct-22
KOREA HYDRO & NUCLEAR POWER CO LTD,Korea,,Corporate - Utilities,Green,2,0.09bn,,Other,Jul-22
KOREA HYDRO & NUCLEAR POWER CO LTD,Korea,,Corporate - Utilities,Social,3,0.25bn,Jan-19,Sustainalytics,Jan-19
KOREA HYDRO & NUCLEAR POWER CO LTD,Korea,,Corporate - Utilities,Sustainability,3,0.20bn,Oct-21,Moody's,Oct-21
KOREA INTERNATIONAL BOND,Korea,,SSA - Sovereigns,Green,1,0.81bn,Sep-21,Sustainalytics,Sep-21
KOREA INTERNATIONAL BOND,Korea,,SSA - Sovereigns,Sustainability,1,0.50bn,Jun-19,Sustainalytics,Jun-19
KOREA INVESTMENT & SECURITIES CO LTD,Korea,,Financials - Financial services,Green,1,0.13bn,,,
KOREA INVESTMENT & SECURITIES CO LTD,Korea,,Financials - Financial services,Social,2,0.06bn,Nov-22,Moody's,Nov-22
KOREA LAND & HOUSING CORP,Korea,,SSA - Agencies,Green,3,0.56bn,Jun-18,Other,May-21
KOREA LAND & HOUSING CORP,Korea,,SSA - Agencies,Social,11,0.80bn,Jun-18,Sustainalytics,Jun-18
KOREA LAND & HOUSING CORP,Korea,,SSA - Agencies,Sustainability,2,0.31bn,Jun-18,Sustainalytics,Jun-18
KOREA MIDLAND POWER CO LTD,Korea,,Corporate - Utilities,Green,1,0.03bn,,Other,Aug-22
KOREA MIDLAND POWER CO LTD,Korea,,Corporate - Utilities,Sustainability,9,0.32bn,Jun-22,Moody's,Jun-22
KOREA OCEAN BUSINESS CORPORATION,Korea,,Financials - Financial services,Sustainability,1,0.00bn,,Other,Nov-21
KOREA RAILROAD CORP,Korea,,SSA - Agencies,Green,3,0.27bn,Aug-18,Other,Apr-21
KOREA RAILROAD CORP,Korea,,SSA - Agencies,Sustainability,2,0.24bn,,,
KOREA SMES AND STARTUPS AGENCY,Korea,,SSA - Agencies,Green,1,0.07bn,,Deloitte,Jun-21
KOREA SMES AND STARTUPS AGENCY,Korea,,SSA - Agencies,Social,97,7.79bn,,Deloitte,Jun-21
KOREA SOUTH-EAST POWER CO LTD,Korea,,SSA - Agencies,Green,12,0.71bn,Nov-22,Moody's,Nov-22
KOREA SOUTH-EAST POWER CO LTD,Korea,,SSA - Agencies,Sustainability,1,0.30bn,Mar-19,Sustainalytics,Mar-19
KOREA SOUTH-EAST POWER CO. LTD,Korea,,SSA - Agencies,Green,3,0.27bn,Mar-19,Moody's,Jan-21
KOREA SOUTHERN POWER CO LTD,Korea,,Corporate - Utilities,Green,14,1.02bn,Apr-22,Moody's,Mar-23
KOREA STUDENT AID FOUNDATION,Korea,,SSA - Agencies,Social,70,2.58bn,,PwC,Jul-19
KOREA WATER RESOURCES CORP,Korea,,SSA - Agencies,Green,3,0.38bn,Mar-22,Sustainalytics,Mar-22
KOREA WESTERN POWER CO LTD,Korea,,Corporate - Utilities,Green,19,1.13bn,Jan-23,Moody's,Apr-23
KOREA WESTERN POWER CO LTD,Korea,,Corporate - Utilities,Sustainability,1,0.20bn,Jan-19,Sustainalytics,Jan-19
KOREAN AIR LINES CO LTD,Korea,,Corporate - Consumer Discretionary,Green,2,0.25bn,Jun-21,Moody's,Jun-21
KOREAN REINSURANCE CO,Korea,,Financials - Insurance,Sustainability,1,0.18bn,May-22,Moody's,May-22
KORIAN SA,France,,Corporate - Health Care,Green,1,0.28bn,,DNV GL,May-21
KORIAN SA,France,,Corporate - Health Care,Social,1,0.35bn,,S&P,Oct-21
KOSME SCALE-UP SECURITIZATION SPECIALTY CO LTD,Korea,,Financials - Financial services,Social,12,0.20bn,Jun-21,Moody's,Jun-21
KRAFTWERKE OBERHASLI AG,Switzerland,,Corporate - Utilities,Green,1,0.11bn,,ISS-Oekom,Jan-21
KREDITANSTALT FUER WIEDERAUFBAU,Germany,,SSA - Quasi-sovereigns,Green,46,59.38bn,Sep-16,Cicero,Dec-21
KREDITTFORENINGEN FOR SPAREBANKER,Norway,,Financials - Banking,Green,4,0.09bn,Jan-21,Sustainalytics,Jan-21
KT CORPORATION,Korea,,Corporate - Communications,Sustainability,3,0.33bn,,KPMG,May-21
KT21 T2 CO LTD,Cayman Islands,,Financials - Banking,Sustainability,1,0.35bn,Aug-21,Sustainalytics,Aug-21
KUNGSLEDEN AB,Sweden,,Financials - Real estate,Green,9,0.44bn,,Cicero,Mar-18
KUNMING RAIL TRANSIT GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,1,0.25bn,,,
KUNTARAHOITUS OYJ,Finland,,SSA - Quasi-sovereigns,Green,7,3.73bn,Aug-22,Cicero,Aug-22
KUNTARAHOITUS OYJ,Finland,,SSA - Quasi-sovereigns,Social,1,1.30bn,,ISS-Oekom,Mar-20
KUTXABANK SA,Spain,,Financials - Banking,Green,1,0.58bn,,Vigeo Eiris,Aug-21
KUTXABANK SA,Spain,,Financials - Banking,Social,1,1.13bn,,Sustainalytics,Aug-15
KVIKA BANKI HF.,Iceland,,Financials - Banking,Green,1,0.00bn,Oct-21,Sustainalytics,Oct-21
"KWANGJU BANK, LTD",Korea,,Financials - Banking,Sustainability,1,0.04bn,,Other,Jun-21
KWG GROUP HOLDINGS LTD,China (mainland),,Financials - Real estate,Green,1,0.38bn,May-21,Sustainalytics,May-21
KYOBO LIFE INSURANCE CO LTD,Korea,,Financials - Insurance,Sustainability,3,1.40bn,,Other,Aug-21
KYONGNAM BANK LTD,Korea,,Financials - Banking,Social,1,0.00bn,May-22,Moody's,May-22
KYUSHU ELECTRIC POWER COMANY INC.,Japan,,Corporate - Utilities,Green,1,0.14bn,Apr-21,DNV GL,Apr-21
KYUSHU RAILWAY CO,Japan,,Corporate - Consumer Discretionary,Green,4,0.36bn,Apr-21,Other,Apr-21
LA BANQUE POSTALE HOME LOAN SFH SA,France,,Financials - Consumer Finance,Green,1,0.79bn,,Vigeo Eiris,Apr-19
LA BANQUE POSTALE HOME LOAN SFH SA,France,,Financials - Consumer Finance,Social,1,1.36bn,,Vigeo Eiris,Apr-19
LA BANQUE POSTALE SA,France,,Financials - Banking,Green,5,1.16bn,,Vigeo Eiris,Apr-19
LA BANQUE POSTALE SA,France,,Financials - Banking,Social,3,1.13bn,,Vigeo Eiris,Apr-19
LA POSTE,France,,Corporate - Industrials,Green,1,0.57bn,Oct-18,Sustainalytics,Oct-18
LA POSTE,France,,Corporate - Industrials,Sustainability,2,1.19bn,,Vigeo Eiris,Apr-19
LAMDA DEVELOPMENT SA,Greece,,Financials - Real estate,Green,1,0.24bn,,PwC,Jun-22
LAND BADEN-WUERTTEMBERG,Germany,,SSA - Quasi-sovereigns,Green,3,1.63bn,,Moody's,May-22
LAND BANK OF TAIWAN CO LTD,Taiwan,,Financials - Banking,Sustainability,1,0.04bn,,KPMG,May-21
LAND BERLIN,Germany,,SSA - Quasi-sovereigns,Sustainability,1,0.81bn,,ISS-Oekom,Dec-22
LAND NORDRHEIN-WESTFALEN,Germany,,SSA - Quasi-sovereigns,Sustainability,11,21.39bn,,ISS-Oekom,Mar-21
LAND SECURITIES CAPITAL MARKETS PLC,United Kingdom,,Financials - Real estate,Green,1,0.48bn,Mar-23,Sustainalytics,Mar-23
LANDESBANK BADEN-WÜRTTEMBERG,Germany,,Financials - Banking,Green,198,11.05bn,,ISS-Oekom,Mar-22
LANDESBANK BADEN-WÜRTTEMBERG,Germany,,Financials - Banking,Social,38,3.55bn,,ISS-Oekom,Sep-19
LANDESBANK HESSEN-THUERINGEN GIROZENTRALE,Germany,,Financials - Banking,Green,74,9.72bn,,ISS-Oekom,Apr-21
LANDESBANK SAAR,Germany,,Financials - Banking,Green,10,0.21bn,,Vigeo Eiris,Oct-20
LANDESBANK SAAR,Germany,,Financials - Banking,Social,1,0.27bn,,Other,May-22
LANDSBANKINN HF,Iceland,,Financials - Banking,Green,2,0.70bn,Jan-21,Sustainalytics,Jan-21
LANDSHYPOTEK BANK AB (PUBL),Sweden,,Financials - Consumer Finance,Green,2,1.15bn,,Cicero,Apr-18
LANDWIRTSCHAFTLICHE RENTENBANK,Germany,,SSA - Quasi-sovereigns,Green,13,6.05bn,,Cicero,Jul-20
LÄNSFÖRSÄKRINGAR BANK AB (PUBL),Sweden,,Financials - Banking,Green,4,0.74bn,Jun-22,Sustainalytics,Jun-22
LANTMANNEN EK FOR,Sweden,,Corporate - Consumer Staples,Green,2,0.12bn,,Cicero,Apr-21
LANXESS AKTIENGESELLSCHAFT,Germany,,Corporate - Materials,Sustainability Linked Bonds,2,1.34bn,,ISS-Oekom,Nov-21
"LAR ESPANA REAL ESTATE SOCIMI, SA",Spain,,Financials - Real estate,Green,2,0.82bn,,ISS-Oekom,Jul-21
LASALLE LOGIPORT REIT,Japan,,Financials - Real estate,Green,3,0.06bn,Jan-20,Sustainalytics,Jan-20
LASSILA & TIKANOJA OYJ,Finland,,Corporate - Industrials,Sustainability Linked Bonds,1,0.08bn,May-22,Sustainalytics,May-22
LATVENERGO AS,Latvia,,Corporate - Utilities,Green,3,0.22bn,,Cicero,Apr-20
LATVIA (REPUBLIC OF),Latvia,,SSA - Sovereigns,Sustainability,1,0.68bn,,ISS-Oekom,Nov-21
LEADER ENERGY SDN BHD,Singapore,,Financials - Financial services,Green,16,0.06bn,,Other,Apr-20
LEASEPLAN CORPORATION N.V.,Netherlands,,Financials - Commercial Finance,Green,4,3.51bn,Mar-20,Sustainalytics,Mar-20
LEASYS SPA,Italy,,Corporate - Consumer Discretionary,Green,1,0.59bn,Jun-21,Sustainalytics,Jun-21
LEEWARD RENEWABLE ENERGY OPERATIONS LLC,United States,,Corporate - Utilities,Green,2,0.38bn,,,
LEG IMMOBILIEN SE,Germany,,Financials - Real estate,Sustainability,1,0.71bn,Jun-21,Sustainalytics,Jun-21
LEGRAND,France,,Corporate - Industrials,Sustainability Linked Bonds,1,0.70bn,,Vigeo Eiris,Sep-21
LEJONFASTIGHETER AB,Sweden,,Financials - Real estate,Green,3,0.06bn,,Cicero,Sep-19
LENDLEASE EUROPE FINANCE PLC,United Kingdom,,Corporate - Industrials,Green,1,0.33bn,Mar-21,Sustainalytics,Mar-21
LENDLEASE FINANCE LTD,Australia,,Financials - Real estate,Green,2,0.59bn,Mar-21,Sustainalytics,Mar-21
LENOVO GROUP LTD,China (Hong Kong),,Corporate - Technology,Green,2,0.63bn,Jul-22,Sustainalytics,Jul-22
LEROY SEAFOOD GROUP ASA,Norway,,Corporate - Consumer Staples,Green,6,0.32bn,,DNV GL,Aug-21
LG CHEM LTD,Korea,,Corporate - Materials,Green,10,2.30bn,Jun-21,DNV GL,Jun-21
LG CHEM LTD,Korea,,Corporate - Materials,Sustainability,3,0.75bn,Feb-21,Moody's,Feb-21
LG DISPLAY CO LTD,Korea,,Corporate - Technology,Green,4,0.80bn,,Other,Feb-22
LG ELECTRONICS INC,Korea,,Corporate - Technology,Green,2,0.17bn,,Other,Apr-21
LIBERTY COSTA RICA SENIOR SECURED FINANCE,Cayman Islands,,Corporate - Communications,Sustainability Linked Bonds,2,0.40bn,,Moody's,Sep-22
LIBERTY UTILITIES FINANCE GP 1,United States,,Corporate - Utilities,Green,2,0.60bn,Jun-20,Sustainalytics,Jun-20
LIMAK ISKENDERUN ULUSLARARASI LIMAN ISLETMECILIGI A.S.,Turkey,,Corporate - Industrials,Sustainability Linked Bonds,2,0.37bn,May-21,Sustainalytics,May-21
LINK 2019 CB LTD,Virgin Islands,,Financials - Real estate,Green,1,0.51bn,Mar-19,Other,Mar-19
LINK FINANCE CAYMAN 2009 LTD/THE,Cayman Islands,,Financials - Real estate,Green,1,0.50bn,Jul-16,Sustainalytics,Jul-16
LINKOPINGS KOMMUN,Sweden,,SSA - Quasi-sovereigns,Green,1,0.06bn,,Cicero,Sep-19
LINKOPINGS STADSHUS AB,Sweden,,SSA - Quasi-sovereigns,Green,2,0.11bn,,Cicero,Sep-19
LINYI INVESTMENT DEVELOPMENT CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.23bn,,Other,Sep-21
LION/POLARIS LUX 4 SA,Luxembourg,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.77bn,,ISS-Oekom,Apr-21
LITHUANIA (THE REPUBLIC OF),Lithuania,,SSA - Sovereigns,Green,1,0.08bn,,,
LIVENT CORP,United States,,Corporate - Materials,Green,2,0.49bn,Jun-20,Other,Jun-20
LJOSLEIDARINN,Iceland,,Corporate - Materials,Green,1,0.12bn,,Cicero,Feb-19
LOCAL INITIATIVES SUPPORT CORP,United States,,Corporate - Consumer Discretionary,Social,27,8.03bn,Dec-20,Vigeo Eiris,Jan-21
LOGAN GROUP CO LTD,Cayman Islands,,Financials - Real estate,Green,1,0.30bn,Jun-21,Sustainalytics,Jun-21
LOGICOR FINANCING SARL,Luxembourg,,Financials - Real estate,Green,1,0.56bn,Sep-20,Sustainalytics,Sep-20
LONDON & QUADRANT HOUSING,United Kingdom,,Financials - Real estate,Sustainability Linked Bonds,1,0.41bn,,DNV GL,Sep-21
LOOMIS AB,Sweden,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.16bn,Oct-21,Sustainalytics,Oct-21
LOOOP INC.,Japan,,Corporate - Energy,Green,1,0.02bn,Apr-20,Other,Apr-20
L'OREAL SA,France,,Corporate - Consumer Staples,Sustainability Linked Bonds,1,1.38bn,Mar-22,Sustainalytics,Mar-22
LOS ANGELES WORLD AIRPORTS,United States,,SSA - Quasi-sovereigns,Green,2,0.02bn,,Other,Mar-22
LOTTE CAPITAL CO LTD,Korea,,Financials - Financial services,Social,1,0.04bn,,Deloitte,Feb-21
LOTTE CAPITAL CO LTD,Korea,,Financials - Financial services,Sustainability,17,0.74bn,,Deloitte,Feb-21
LOTTE CARD CO LTD,Korea,,Financials - Consumer Finance,Social,3,0.15bn,Aug-21,Moody's,Aug-21
LOTTE CARD CO LTD,Korea,,Financials - Consumer Finance,Sustainability,5,0.13bn,,Other,Dec-21
LOTTE CHEMICAL CORP,Korea,,Corporate - Materials,Sustainability,1,0.18bn,Apr-21,Other,Apr-21
LOTTE CORP,Korea,,Corporate - Consumer Staples,Green,1,0.05bn,,Deloitte,Aug-20
LOTTE CORP,Korea,,Corporate - Consumer Staples,Sustainability,1,0.04bn,,Deloitte,Aug-20
LOTTE ENGINEERING & CONSTRUCTION CO LTD,Korea,,Corporate - Industrials,Sustainability,1,0.03bn,,Other,Aug-21
LOTTE GLOBAL LOGISTICS CO LTD,Korea,,Corporate - Industrials,Green,1,0.04bn,,Moody's,Jan-21
LOTTE PROPERTY & DEVELOPMENT CO LTD,Korea,,Financials - Real estate,Green,2,0.36bn,,Other,May-21
LOTTE PROPERTY & DEVELOPMENT CO LTD,Korea,,Financials - Real estate,Sustainability,1,0.30bn,Jul-22,Sustainalytics,Jul-22
LOTTE RENTAL CO LTD,Korea,,Corporate - Consumer Discretionary,Green,11,1.07bn,,Other,Mar-22
LOTTE SHOPPING CO LTD,China (Hong Kong),,Corporate - Consumer Discretionary,Social,1,0.15bn,,Other,Apr-21
LOW INCOME INVESTMENT FUND,United States,,Financials - Commercial Finance,Sustainability,2,0.10bn,Jun-19,Sustainalytics,Jun-19
LOWER MATTAGAMI ENERGY LP,Canada,,Corporate - Utilities,Green,1,0.31bn,Apr-21,Sustainalytics,Apr-21
LP PORTFOLIO VAGYONKEZELO ES TANACSADO KFT,Hungary,,Financials - Financial services,Green,1,0.01bn,,Other,Sep-21
LSTH SVENSKA HANDELSFASTIGHETER AB,Sweden,,Financials - Real estate,Green,4,0.26bn,,Cicero,Aug-20
LUNE HOLDINGS SARL,Luxembourg,,Corporate - Materials,Sustainability Linked Bonds,2,0.52bn,,DNV GL,Oct-21
LUNENG GROUP CO LTD,China (mainland),,Corporate - Energy,Green,1,0.15bn,,Other,Jan-21
LUOSSAVAARA-KIIRUNAVAARA AB,Sweden,,Corporate - Materials,Green,2,0.21bn,,Cicero,Nov-19
LUXEMBOURG (GRAND-DUCHE DE),Luxembourg,,SSA - Sovereigns,Sustainability,1,1.78bn,Aug-20,Sustainalytics,Aug-20
LUZ DE TRES PICOS SA,Spain,,Corporate - Energy,Green,3,0.11bn,Apr-22,Other,Apr-22
LYSE AS,Norway,,Corporate - Utilities,Green,5,0.26bn,,Cicero,Nov-20
M CAPITAL CO LTD,France,,Financials - Financial services,Sustainability,4,0.15bn,,KPMG,Apr-21
MACQUARIE UNIVERSITY,Australia,,Corporate - Consumer Discretionary,Sustainability,4,0.35bn,Aug-18,Sustainalytics,Aug-18
MAF GLOBAL SECURITIES LTD,Cayman Islands,,Financials - Real estate,Green,1,0.50bn,Apr-19,Sustainalytics,Apr-19
MAF SUKUK LTD,Cayman Islands,,Financials - Real estate,Green,2,1.20bn,Apr-19,Sustainalytics,Apr-19
MAGNOLIA BOSTAD AB,Sweden,,Financials - Real estate,Green,3,0.18bn,,Cicero,Sep-20
MALAYSIA GOVERNMENT INVESTMENT ISSUE,Malaysia,,SSA - Sovereigns,Sustainability,1,0.99bn,Apr-21,Sustainalytics,Apr-21
MALAYSIA WAKALA SUKUK BHD,Malaysia,,SSA - Sovereigns,Sustainability,4,1.30bn,Apr-21,Sustainalytics,Apr-21
MANDO CORP,Korea,,Corporate - Consumer Discretionary,Green,2,0.22bn,,Other,Apr-21
MANILA WATER CO INC,Philippines,,Corporate - Utilities,Sustainability,1,0.50bn,Jul-20,DNV GL,Jul-20
MANULIFE FINANCIAL CORP,Canada,,Financials - Insurance,Green,3,1.58bn,Feb-22,Sustainalytics,Feb-22
MARS INC,United States,,Corporate - Consumer Staples,Sustainability,2,0.50bn,,S&P,Apr-23
MARUBENI CORPORATION,Japan,,Corporate - Consumer Staples,Green,1,0.50bn,Aug-21,Sustainalytics,Aug-21
