symbol,date,price,yield_to_maturity,yield_to_worst,nav
SP_GB_INDEX,2021-01-14,157.67,0.89,0.78,
SP_GB_INDEX,2021-01-15,157.16,0.89,0.79,
SP_GB_INDEX,2021-01-18,156.9,0.9,0.8,
SP_GB_INDEX,2021-01-19,157.4,0.9,0.8,
SP_GB_INDEX,2021-01-20,157.37,0.9,0.79,
SP_GB_INDEX,2021-01-21,157.54,0.91,0.8,
SP_GB_INDEX,2021-01-22,157.7,0.9,0.79,
SP_GB_INDEX,2021-01-25,157.73,0.87,0.77,
SP_GB_INDEX,2021-01-26,157.9,0.89,0.78,
SP_GB_INDEX,2021-01-27,157.35,0.88,0.77,
SP_GB_INDEX,2021-01-28,157.47,0.89,0.79,
SP_GB_INDEX,2021-01-29,157.45,0.92,0.8,
SP_GB_INDEX,2021-02-01,156.87,0.85,0.75,
SP_GB_INDEX,2021-02-02,156.31,0.86,0.76,
SP_GB_INDEX,2021-02-03,156.14,0.87,0.76,
SP_GB_INDEX,2021-02-04,155.77,0.88,0.77,
SP_GB_INDEX,2021-02-05,156.14,0.88,0.77,
SP_GB_INDEX,2021-02-08,156.32,0.88,0.77,
SP_GB_INDEX,2021-02-09,156.85,0.87,0.76,
SP_GB_INDEX,2021-02-10,157.16,0.86,0.75,
SP_GB_INDEX,2021-02-11,157.26,0.85,0.74,
SP_GB_INDEX,2021-02-12,156.85,0.87,0.76,
SP_GB_INDEX,2021-02-15,156.73,0.89,0.78,
SP_GB_INDEX,2021-02-16,156.32,0.91,0.8,
SP_GB_INDEX,2021-02-17,155.62,0.92,0.8,
SP_GB_INDEX,2021-02-18,155.62,0.94,0.83,
SP_GB_INDEX,2021-02-19,155.93,0.95,0.84,
SP_GB_INDEX,2021-02-22,156.04,0.95,0.84,
SP_GB_INDEX,2021-02-23,155.99,0.96,0.86,
SP_GB_INDEX,2021-02-24,155.48,0.98,0.88,
SP_GB_INDEX,2021-02-25,155.64,1.03,0.93,
SP_GB_INDEX,2021-02-26,155.03,1.03,0.93,
SP_GB_INDEX,2021-03-01,154.9,0.99,0.9,
SP_GB_INDEX,2021-03-02,155.1,0.99,0.9,
SP_GB_INDEX,2021-03-03,154.75,1.01,0.92,
SP_GB_INDEX,2021-03-04,154.48,1.02,0.92,
SP_GB_INDEX,2021-03-05,153.11,1.04,0.95,
SP_GB_INDEX,2021-03-08,152.51,1.06,0.96,
SP_GB_INDEX,2021-03-09,153.0,1.04,0.95,
SP_GB_INDEX,2021-03-10,153.22,1.03,0.94,
SP_GB_INDEX,2021-03-11,153.98,1.01,0.92,
SP_GB_INDEX,2021-03-12,153.4,1.04,0.94,
SP_GB_INDEX,2021-03-15,153.46,1.01,0.92,
SP_GB_INDEX,2021-03-16,153.35,1.02,0.92,
SP_GB_INDEX,2021-03-17,153.02,1.04,0.94,
SP_GB_INDEX,2021-03-18,152.93,1.06,0.97,
SP_GB_INDEX,2021-03-19,152.9,1.05,0.95,
SP_GB_INDEX,2021-03-22,153.21,1.04,0.94,
SP_GB_INDEX,2021-03-23,152.98,1.02,0.92,
SP_GB_INDEX,2021-03-24,152.76,1.01,0.92,
SP_GB_INDEX,2021-03-25,152.4,1.0,0.9,
SP_GB_INDEX,2021-03-26,152.39,1.01,0.92,
SP_GB_INDEX,2021-03-29,151.84,1.03,0.93,
SP_GB_INDEX,2021-03-30,151.3,1.05,0.96,
SP_GB_INDEX,2021-03-31,151.67,1.04,0.95,
SP_GB_INDEX,2021-04-01,152.0,1.03,0.94,
SP_GB_INDEX,2021-04-02,151.96,1.04,0.95,
SP_GB_INDEX,2021-04-05,152.33,1.03,0.94,
SP_GB_INDEX,2021-04-06,152.73,1.01,0.92,
SP_GB_INDEX,2021-04-07,153.22,1.01,0.92,
SP_GB_INDEX,2021-04-08,153.44,0.99,0.9,
SP_GB_INDEX,2021-04-09,153.12,1.01,0.92,
SP_GB_INDEX,2021-04-12,153.21,1.01,0.92,
SP_GB_INDEX,2021-04-13,153.41,1.01,0.91,
SP_GB_INDEX,2021-04-14,153.74,1.02,0.92,
