bond_id,source_dataset,isin,issuer_name,issuer_type,country,currency,amount_issued,amount_issued_usd,issue_date,issue_year,maturity_date,maturity_year,use_of_proceeds,external_review_type,certification,claimed_impact_co2_tons,actual_impact_co2_tons,impact_source
KAG-FLUVIUS_SYSTEM_OPERATOR_CVBA-854,,,FLUVIUS SYSTEM OPERATOR CVBA,Corporate - Utilities,Belgium,,710000000.0,710000000.0,,,,,Green,ISS-Oekom,Green,,,
KAG-FMG_RESOURCES_AUGUST_2006_PTY_-855,,,FMG RESOURCES AUGUST 2006 PTY LTD,Corporate - Materials,Australia,,800000000.0,800000000.0,,,,,Green,ISS-Oekom,Green,,,
KAG-FOMENTO_ECONOMICO_MEXICANO_S.A-856,,,FOMENTO ECONOMICO MEXICANO S.A. DE C.V.,Corporate - Consumer Staples,Mexico,,1450000000.0,1450000000.0,,,,,Sustainability Linked Bonds,Apr-21 by Sustainalytics,Sustainability Linked Bonds,,,
KAG-FONCIERE_INEA-857,,,FONCIERE INEA,Financials - Real estate,France,,80000000.0,80000000.0,,,,,Green,Vigeo Eiris,Green,,,
KAG-FONDO_ESPECIAL_PARA_FINANCIAMI-858,,,FONDO ESPECIAL PARA FINANCIAMIENTOS AGROPECUARIOS,Corporate - Consumer Discretionary,Mexico,,130000000.0,130000000.0,,,,,Green,Aug-18 by Climate Bonds Initiative Certified,Green,,,
KAG-FONDO_ESPECIAL_PARA_FINANCIAMI-859,,,FONDO ESPECIAL PARA FINANCIAMIENTOS AGROPECUARIOS,Corporate - Consumer Discretionary,Mexico,,510000000.0,510000000.0,,,,,Social,Sep-20 by Moody's,Social,,,
KAG-FONDO_FINANCIERO_PARA_EL_DESAR-860,,,FONDO FINANCIERO PARA EL DESARROLLO DE LA CUENCA DEL PLATA,SSA - Supranationals,Supranationals,,50000000.0,50000000.0,,,,,Sustainability,Dec-21 by Sustainalytics,Sustainability,,,
KAG-FONDO_MIVIVIENDA_S.A.-861,,,FONDO MIVIVIENDA S.A.,SSA - Agencies,Peru,,600000000.0,600000000.0,,,,,Sustainability,ISS-Oekom,Sustainability,,,
KAG-FORD_FOUNDATION/THE-862,,,FORD FOUNDATION/THE,Corporate - Consumer Discretionary,United States,,1000000000.0,1000000000.0,,,,,Social,Jun-20 by Sustainalytics,Social,,,
KAG-FORD_MOTOR_COMPANY-863,,,FORD MOTOR COMPANY,Corporate - Consumer Discretionary,United States,,4250000000.0,4250000000.0,,,,,Green,,Green,,,
KAG-FOREST_FINANCE_GMBH-864,,,FOREST FINANCE GMBH,Financials - Financial services,United States,,30000000.0,30000000.0,,,,,Green,Oct-22 by Vigeo Eiris,Green,,,
KAG-FORTISBC_ENERGY_INC-865,,,FORTISBC ENERGY INC,Corporate - Utilities,Canada,,260000000.0,260000000.0,,,,,Green,Cicero,Green,,,
KAG-FOSHAN_GAOMING_CONSTRUCTIONS_I-866,,,FOSHAN GAOMING CONSTRUCTIONS INVESTMENT GROUP CO LTD,Corporate - Industrials,China (mainland),,200000000.0,200000000.0,,,,,Sustainability,Mar-22 by Other,Sustainability,,,
KAG-FRANSHION_BRILLIANT_LTD-867,,,FRANSHION BRILLIANT LTD,Financials - Real estate,Virgin Islands,,250000000.0,250000000.0,,,,,Green,Jul-18 by Sustainalytics,Green,,,
KAG-FRASERS_PROPERTY_AHL_LTD-868,,,FRASERS PROPERTY AHL LTD,Financials - Real estate,Australia,,220000000.0,220000000.0,,,,,Sustainability,Deloitte,Sustainability,,,
KAG-FRASERS_PROPERTY_TREASURY_PTE_-869,,,FRASERS PROPERTY TREASURY PTE LTD,Financials - Real estate,Singapore,,360000000.0,360000000.0,,,,,Green,Deloitte,Green,,,
KAG-Freddie_Mac_(Multi-family_gree-870,,,Freddie Mac (Multi-family green bonds),Financials - Specialty finance,United States,,5040000000.0,5040000000.0,,,,,Green,Jun-19 by Cicero,Green,,,
KAG-Freddie_Mac_(Multi-family_soci-871,,,Freddie Mac (Multi-family social bonds),Financials - Specialty finance,United States,,5100000000.0,5100000000.0,,,,,Social,Aug-20 by Sustainalytics,Social,,,
KAG-Freddie_Mac_(Multi-family_sust-872,,,Freddie Mac (Multi-family sustainability bonds),Financials - Specialty finance,United States,,5420000000.0,5420000000.0,,,,,Sustainability,Sep-20 by Sustainalytics,Sustainability,,,
KAG-Freddie_Mac_(Single-family_gre-873,,,Freddie Mac (Single-family green bonds),Financials - Specialty finance,United States,,2570000000.0,2570000000.0,,,,,Green,Cicero,Green,,,
KAG-Freddie_Mac_(Single-family_soc-874,,,Freddie Mac (Single-family social bonds),Financials - Specialty finance,United States,,0.0,0.0,,,,,Social,Aug-22 by Sustainalytics,Social,,,
KAG-FRENCH_REPUBLIC_GOVERNMENT_BON-875,,,FRENCH REPUBLIC GOVERNMENT BOND OAT,SSA - Sovereigns,France,,57210000000.0,57210000000.0,,,,,Green,Vigeo Eiris,Green,,,
KAG-FS_LUXEMBOURG_SARL-876,,,FS LUXEMBOURG SARL,Corporate - Energy,Luxembourg,,760000000.0,760000000.0,,,,,Green,Other,Green,,,
KAG-FUJIAN_ZHANGLONG_GROUP_CO_LTD-877,,,FUJIAN ZHANGLONG GROUP CO LTD,Corporate - Industrials,China (mainland),,500000000.0,500000000.0,,,,,Green,,Green,,,
KAG-FUJIFILM_HOLDINGS_CORP-878,,,FUJIFILM HOLDINGS CORP,Corporate - Technology,Japan,,940000000.0,940000000.0,,,,,Social,DNV GL,Social,,,
KAG-FUTUREAL_DEVELOPMENT_HOLDING_K-879,,,FUTUREAL DEVELOPMENT HOLDING KFT,Corporate - Industrials,Hungary,,160000000.0,160000000.0,,,,,Green,Feb-21 by Sustainalytics,Green,,,
"KAG-FUYO_GENERAL_LEASE_CO.,_LTD.-880",,,"FUYO GENERAL LEASE CO., LTD.",Financials - Commercial Finance,Japan,,140000000.0,140000000.0,,,,,Green,Oct-18 by Japan Credit Rating Agency,Green,,,
"KAG-FUYO_GENERAL_LEASE_CO.,_LTD.-881",,,"FUYO GENERAL LEASE CO., LTD.",Financials - Commercial Finance,Japan,,90000000.0,90000000.0,,,,,Sustainability,,Sustainability,,,
"KAG-FUYO_GENERAL_LEASE_CO.,_LTD.-882",,,"FUYO GENERAL LEASE CO., LTD.",Financials - Commercial Finance,Japan,,100000000.0,100000000.0,,,,,Sustainability Linked Bonds,Japan Credit Rating Agency,Sustainability Linked Bonds,,,
KAG-FUZHOU_METRO_GROUP_CO_LTD-883,,,FUZHOU METRO GROUP CO LTD,Corporate - Consumer Discretionary,China (mainland),,160000000.0,160000000.0,,,,,Green,Other,Green,,,
KAG-G_CITY_EUROPE_LIMITED-884,,,G CITY EUROPE LIMITED,Financials - Real estate,Jersey,,420000000.0,420000000.0,,,,,Green,Feb-20 by Sustainalytics,Green,,,
KAG-GACI_FIRST_INVESTMENT_CO-885,,,GACI FIRST INVESTMENT CO,Financials - Financial services,Cayman Islands,,8500000000.0,8500000000.0,,,,,Green,DNV GL,Green,,,
KAG-GAKKEN_HOLDINGS_CO_LTD-886,,,GAKKEN HOLDINGS CO LTD,Corporate - Consumer Discretionary,Japan,,60000000.0,60000000.0,,,,,Social,Mar-20 by Japan Credit Rating Agency,Social,,,
KAG-GANSU_PROVINCIAL_HIGHWAY_AVIAT-887,,,GANSU PROVINCIAL HIGHWAY AVIATION TOURISM INVESTMENT GROUP CO LTD,Corporate - Consumer Discretionary,China (mainland),,300000000.0,300000000.0,,,,,Sustainability,,Sustainability,,,
KAG-GANZHOU_URBAN_INVESTMENT_HOLDI-888,,,GANZHOU URBAN INVESTMENT HOLDING GROUP CO LTD,Corporate - Industrials,China (mainland),,250000000.0,250000000.0,,,,,Sustainability,Jun-22 by Other,Sustainability,,,
KAG-GCC_SAB_DE_CV-889,,,GCC SAB DE CV,Corporate - Materials,Mexico,,500000000.0,500000000.0,,,,,Sustainability Linked Bonds,ISS-Oekom,Sustainability Linked Bonds,,,
KAG-GD_POWER_DEVELOPMENT_CO_LTD-890,,,GD POWER DEVELOPMENT CO LTD,Corporate - Utilities,China (mainland),,490000000.0,490000000.0,,,,,Green,Other,Green,,,
KAG-GD_POWER_DEVELOPMENT_CO_LTD-891,,,GD POWER DEVELOPMENT CO LTD,Corporate - Utilities,China (mainland),,160000000.0,160000000.0,,,,,Sustainability Linked Bonds,Other,Sustainability Linked Bonds,,,
KAG-GECINA-892,,,GECINA,Financials - Real estate,France,,6430000000.0,6430000000.0,,,,,Green,Feb-21 by ISS-Oekom,Green,,,
KAG-GEK_TERNA_HOLDING_REAL_ESTATE_-893,,,GEK TERNA HOLDING REAL ESTATE CO,Corporate - Industrials,Greece,,340000000.0,340000000.0,,,,,Sustainability Linked Bonds,Other,Sustainability Linked Bonds,,,
KAG-GEMDALE_EVER_PROSPERITY_INVEST-894,,,GEMDALE EVER PROSPERITY INVESTMENT LTD,Financials - Real estate,China (Hong Kong),,480000000.0,480000000.0,,,,,Green,,Green,,,
KAG-GEMENG_INTERNATIONAL_ENERGY_CO-895,,,GEMENG INTERNATIONAL ENERGY CO LTD,Corporate - Utilities,China (mainland),,20000000.0,20000000.0,,,,,Green,Other,Green,,,
KAG-GENERAL_MILLS_INC.-896,,,GENERAL MILLS INC.,Corporate - Consumer Staples,United States,,500000000.0,500000000.0,,,,,Sustainability Linked Bonds,ISS-Oekom,Sustainability Linked Bonds,,,
KAG-GENERAL_MOTORS_COMPANY-897,,,GENERAL MOTORS COMPANY,Corporate - Industrials,United States,,2250000000.0,2250000000.0,,,,,Green,Moody's,Green,,,
KAG-GENESIS_ENERGY_LTD-898,,,GENESIS ENERGY LTD,Corporate - Utilities,New Zealand,,270000000.0,270000000.0,,,,,Green,DNV GL,Green,,,
KAG-GENNEIA_S.A.-899,,,GENNEIA S.A.,Corporate - Utilities,Argentina,,450000000.0,450000000.0,,,,,Green,Feb-21 by Sustainalytics,Green,,,
KAG-GENOVA_PROPERTY_GROUP_AB-900,,,GENOVA PROPERTY GROUP AB,Financials - Real estate,Sweden,,180000000.0,180000000.0,,,,,Green,Jan-21 by Cicero,Green,,,
KAG-GEORGIA_GLOBAL_UTILITIES_JSC-901,,,GEORGIA GLOBAL UTILITIES JSC,Corporate - Utilities,Georgia,,250000000.0,250000000.0,,,,,Green,Apr-20 by Sustainalytics,Green,,,
KAG-GEORGIA_POWER_CO-902,,,GEORGIA POWER CO,Corporate - Utilities,United States,,330000000.0,330000000.0,,,,,Green,Dec-20 by Sustainalytics,Green,,,
KAG-GEORGIA_POWER_CO-903,,,GEORGIA POWER CO,Corporate - Utilities,United States,,1550000000.0,1550000000.0,,,,,Sustainability,Dec-20 by Sustainalytics,Sustainability,,,
KAG-GEORGIAN_RAILWAY_JSC-904,,,GEORGIAN RAILWAY JSC,Corporate - Industrials,Georgia,,500000000.0,500000000.0,,,,,Green,S&P,Green,,,
KAG-GEORGIAN_RENEWABLE_POWER_CO_JS-905,,,GEORGIAN RENEWABLE POWER CO JSC,Corporate - Energy,Georgia,,80000000.0,80000000.0,,,,,Green,Jun-22 by Sustainalytics,Green,,,
KAG-GEPIC_ENERGY_DEVELOPMENT_CO_LT-906,,,GEPIC ENERGY DEVELOPMENT CO LTD,Corporate - Utilities,China (mainland),,70000000.0,70000000.0,,,,,Green,,Green,,,
KAG-GETINGE_AB-907,,,GETINGE AB,Corporate - Health Care,Sweden,,70000000.0,70000000.0,,,,,Social,May-21 by Sustainalytics,Social,,,
KAG-GETLINK_SE-908,,,GETLINK SE,Corporate - Consumer Discretionary,France,,1000000000.0,1000000000.0,,,,,Green,Oct-20 by DNV GL,Green,,,
KAG-GEWOBAG_WOHNUNGSBAU-AKTIENGESE-909,,,GEWOBAG WOHNUNGSBAU-AKTIENGESELLSCHAFT BERLIN,Financials - Real estate,Germany,,610000000.0,610000000.0,,,,,Social,ISS-Oekom,Social,,,
KAG-GHELAMCO_INVEST_NV-910,,,GHELAMCO INVEST NV,Financials - Real estate,Belgium,,230000000.0,230000000.0,,,,,Green,Oct-19 by Sustainalytics,Green,,,
KAG-GIMV_NV-911,,,GIMV NV,Financials - Financial services,Belgium,,120000000.0,120000000.0,,,,,Sustainability,Feb-21 by Sustainalytics,Sustainability,,,
KAG-GLITRE_ENERGI_AS-912,,,GLITRE ENERGI AS,Corporate - Utilities,Norway,,70000000.0,70000000.0,,,,,Green,Cicero,Green,,,
KAG-GLOBAL_ONE_REAL_ESTATE_INVESTM-913,,,GLOBAL ONE REAL ESTATE INVESTMENT CORP,Financials - Real estate,Japan,,60000000.0,60000000.0,,,,,Green,Japan Credit Rating Agency,Green,,,
KAG-GLOBAL_POWER_SYNERGY_PCL-914,,,GLOBAL POWER SYNERGY PCL,Corporate - Utilities,Thailand,,510000000.0,510000000.0,,,,,Green,May-22 by Climate Bonds Initiative Certified,Green,,,
KAG-GLOBAL_SWITCH_FINANCE_BV-915,,,GLOBAL SWITCH FINANCE BV,Corporate - Communications,Netherlands,,820000000.0,820000000.0,,,,,Green,Sep-20 by Sustainalytics,Green,,,
KAG-GLOBALWORTH_REAL_ESTATE_INVEST-916,,,GLOBALWORTH REAL ESTATE INVESTMENTS LTD,Financials - Real estate,Guernsey,,460000000.0,460000000.0,,,,,Green,May-20 by Sustainalytics,Green,,,
KAG-GLOBO_COMUNICACAO_E_PARTICIPAC-917,,,GLOBO COMUNICACAO E PARTICIPACOES S.A.,Corporate - Communications,Brazil,,400000000.0,400000000.0,,,,,Sustainability Linked Bonds,Sustainalytics,Sustainability Linked Bonds,,,
KAG-GLP_J-REIT-918,,,GLP J-REIT,Financials - Real estate,Japan,,170000000.0,170000000.0,,,,,Green,Nov-19 by Japan Credit Rating Agency,Green,,,
KAG-GLP_J-REIT-919,,,GLP J-REIT,Financials - Real estate,Japan,,40000000.0,40000000.0,,,,,Sustainability,Japan Credit Rating Agency,Sustainability,,,
KAG-GLP_J-REIT-920,,,GLP J-REIT,Financials - Real estate,Japan,,50000000.0,50000000.0,,,,,Sustainability Linked Bonds,Japan Credit Rating Agency,Sustainability Linked Bonds,,,
KAG-GLP_PTE_LTD-921,,,GLP PTE LTD,Financials - Financial services,Singapore,,1150000000.0,1150000000.0,,,,,Green,Nov-20 by Sustainalytics,Green,,,
KAG-GMT_BOND_ISSUER_LTD-922,,,GMT BOND ISSUER LTD,Financials - Real estate,New Zealand,,100000000.0,100000000.0,,,,,Green,EY,Green,,,
KAG-GOLDENPEAKS_GREEN_BONDS_I_S.A.-923,,,GOLDENPEAKS GREEN BONDS I S.A.,Financials - Consumer Finance,Luxembourg,,20000000.0,20000000.0,,,,,Green,Vigeo Eiris,Green,,,
KAG-GOLDMAN_SACHS_FINANCE_CORP_INT-924,,,GOLDMAN SACHS FINANCE CORP INTERNATIONAL LTD,Financials - Financial services,Jersey,,600000000.0,600000000.0,,,,,Sustainability,Feb-21 by Sustainalytics,Sustainability,,,
"KAG-GOLDMAN_SACHS_GROUP,_INC._(THE-925",,,"GOLDMAN SACHS GROUP, INC. (THE)",Financials - Financial services,United States,,1610000000.0,1610000000.0,,,,,Sustainability,Feb-21 by Sustainalytics,Sustainability,,,
KAG-GOLDMAN_SACHS_INTERNATIONAL-926,,,GOLDMAN SACHS INTERNATIONAL,Financials - Financial services,United Kingdom,,10000000.0,10000000.0,,,,,Sustainability,Feb-21 by Sustainalytics,Sustainability,,,
KAG-GOODGREEN_2017-2-927,,,GOODGREEN 2017-2,Corporate - Materials,United States,,570000000.0,570000000.0,,,,,Green,Aug-16 by Sustainalytics,Green,,,
KAG-GOODGREEN_2018-1-928,,,GOODGREEN 2018-1,Corporate - Materials,United States,,340000000.0,340000000.0,,,,,Green,Aug-16 by Sustainalytics,Green,,,
